suburb,year,date,price,type
Ainslie,2011,11/07/2011,"$720,000",Multiple unit dwelling
Ainslie,2011,25/05/2011,"$715,678",Multiple unit dwelling
Ainslie,2011,02/08/2011,"$710,000",Single residential dwelling...
Ainslie,2011,03/09/2011,"$700,000",Single residential dwelling
Ainslie,2011,19/03/2011,"$694,000",Single residential dwelling
Ainslie,2011,06/05/2011,"$690,000",Multiple unit dwelling
Ainslie,2011,06/05/2011,"$690,000",–
Ainslie,2011,11/05/2011,"$686,000",Single residential dwelling
Ainslie,2011,23/03/2011,"$685,000",Single residential dwelling
Ainslie,2011,23/12/2011,"$685,000",Single residential dwelling
Ainslie,2011,06/07/2011,"$681,000",Single residential dwelling...
Ainslie,2011,14/05/2011,"$678,500",Multiple unit dwelling
Ainslie,2011,03/08/2011,"$670,000",Single residential dwelling
Ainslie,2011,09/02/2011,"$670,000",Single residential dwelling
Ainslie,2011,25/03/2011,"$662,500",Single residential dwelling
Ainslie,2011,05/04/2011,"$660,000",Single residential dwelling
Ainslie,2011,25/08/2011,"$659,500",Single residential dwelling
Ainslie,2011,23/07/2011,"$655,000",Single residential dwelling
Ainslie,2011,30/06/2011,"$650,000",Single residential dwelling
Ainslie,2011,16/07/2011,"$640,000",Single residential dwelling
Ainslie,2011,05/08/2011,"$639,950",Single residential dwelling
Ainslie,2011,04/03/2011,"$635,000",Single residential dwelling
Ainslie,2011,16/04/2011,"$631,000",Single residential dwelling
Ainslie,2011,19/01/2011,"$630,000",Single residential dwelling
Ainslie,2011,04/06/2011,"$621,000",Single residential dwelling
Ainslie,2011,01/04/2011,"$620,000",Single residential dwelling
Ainslie,2011,30/07/2011,"$620,000",Single residential dwelling
Ainslie,2011,25/05/2011,"$615,000",–
Ainslie,2011,25/05/2011,"$615,000",Multiple unit dwelling
Ainslie,2011,03/08/2011,"$610,000",Single residential dwelling...
Ainslie,2011,23/02/2011,"$607,500",Single residential dwelling
Ainslie,2011,15/06/2011,"$607,000",Single residential dwelling
Ainslie,2011,21/01/2011,"$605,000",Single residential dwelling
Ainslie,2011,16/07/2011,"$602,500",Single residential dwelling
Ainslie,2011,16/02/2011,"$600,000",Single residential dwelling...
Ainslie,2011,29/10/2011,"$590,000",Single residential dwelling
Ainslie,2011,13/07/2011,"$583,500",Single residential dwelling...
Ainslie,2011,12/04/2011,"$580,000",Multiple unit dwelling
Ainslie,2011,12/04/2011,"$580,000",–
Ainslie,2011,26/05/2011,"$575,000",Single residential dwelling
Ainslie,2011,30/06/2011,"$572,000",Single residential dwelling
Ainslie,2011,24/01/2011,"$570,000",–
Ainslie,2011,21/06/2011,"$569,500",Single residential dwelling
Ainslie,2011,04/08/2011,"$567,000",Single residential dwelling
Ainslie,2011,06/10/2011,"$550,000",Single residential dwelling...
Ainslie,2011,23/12/2011,"$540,000",Multiple unit dwelling
Ainslie,2011,04/02/2011,"$535,000",Single residential dwelling
Ainslie,2011,19/07/2011,"$530,000",Single residential dwelling
Ainslie,2011,18/03/2011,"$525,000",–
Ainslie,2011,06/04/2011,"$525,000",Single residential dwelling...
Ainslie,2011,06/10/2011,"$505,000",Multiple unit dwelling
Ainslie,2011,09/11/2011,"$475,000",–
Ainslie,2011,09/11/2011,"$475,000",Multiple unit dwelling
Ainslie,2011,15/06/2011,"$450,000",Single residential dwelling
Ainslie,2011,11/02/2011,"$430,000",Multiple unit dwelling
Ainslie,2011,03/06/2011,"$325,150",Single residential dwelling
Ainslie,2011,07/08/2011,"$305,000",Single residential dwelling
Ainslie,2011,21/12/2011,"$271,666",Single residential dwelling...
Ainslie,2011,16/03/2011,"$241,667",Single residential dwelling
Ainslie,2011,23/06/2011,"$200,000",Single residential dwelling
Ainslie,2011,06/06/2011,$0,Single residential dwelling
Ainslie,2011,26/09/2011,$0,Single residential dwelling
Ainslie,2011,08/11/2011,$0,Single residential dwelling
Ainslie,2011,26/05/2011,$0,Single residential dwelling
Ainslie,2011,15/06/2011,–,Single residential dwelling
Ainslie,2011,18/05/2011,–,Single residential dwelling
Ainslie,2011,11/04/2011,–,Single residential dwelling
Ainslie,2011,05/04/2011,–,Single residential dwelling
Ainslie,2011,10/01/2011,–,Multiple unit dwelling
Ainslie,2011,02/04/2011,–,Single residential dwelling
Ainslie,2011,02/02/2011,–,Single residential dwelling
Ainslie,2011,15/02/2011,–,Single residential dwelling
Ainslie,2011,28/03/2011,–,Single residential dwelling
Ainslie,2011,08/07/2011,–,Single residential dwelling
Ainslie,2011,29/03/2011,–,Single residential dwelling
Ainslie,2011,24/07/2011,–,Multiple unit dwelling
Ainslie,2011,01/02/2011,–,Single residential dwelling
Ainslie,2011,12/09/2011,–,Single residential dwelling...
Ainslie,2012,16/02/2012,"$1,200,000",Single residential dwelling
Ainslie,2012,31/03/2012,"$1,045,000",Single residential dwelling
Ainslie,2012,22/09/2012,"$1,010,000",–
Ainslie,2012,18/02/2012,"$1,000,000",Single residential dwelling
Ainslie,2012,15/12/2012,"$925,000",Single residential dwelling
Ainslie,2012,14/05/2012,"$822,000",Multiple unit dwelling
Ainslie,2012,24/02/2012,"$811,000",Single residential dwelling
Ainslie,2012,05/09/2012,"$810,000",Single residential dwelling
Ainslie,2012,22/11/2012,"$800,000",–
Ainslie,2012,22/11/2012,"$800,000",Multiple unit dwelling
Ainslie,2012,07/03/2012,"$796,000",–
Ainslie,2012,07/03/2012,"$796,000",Multiple unit dwelling
Ainslie,2012,12/04/2012,"$785,000",–
Ainslie,2012,06/12/2012,"$785,000",Multiple unit dwelling
Ainslie,2012,06/12/2012,"$785,000",–
Ainslie,2012,22/09/2012,"$785,000",Single residential dwelling
Ainslie,2012,10/11/2012,"$774,000",Single residential dwelling
Ainslie,2012,25/08/2012,"$773,000",Single residential dwelling
Ainslie,2012,23/11/2012,"$772,500",Single residential dwelling
Ainslie,2012,12/10/2012,"$770,000",Multiple unit dwelling
Ainslie,2012,17/11/2012,"$755,000",Single residential dwelling
Ainslie,2012,16/01/2012,"$751,500",Single residential dwelling
Ainslie,2012,15/01/2012,"$751,500",–
Ainslie,2012,28/07/2012,"$745,000",Multiple unit dwelling
Ainslie,2012,19/05/2012,"$740,000",Multiple unit dwelling
Ainslie,2012,12/01/2012,"$735,000",Single residential dwelling
Ainslie,2012,31/01/2012,"$725,000",Multiple unit dwelling
Ainslie,2012,31/01/2012,"$725,000",–
Ainslie,2012,14/07/2012,"$716,000",Single residential dwelling
Ainslie,2012,24/08/2012,"$715,000",Multiple unit dwelling
Ainslie,2012,18/05/2012,"$710,000",–
Ainslie,2012,17/03/2012,"$700,000",–
Ainslie,2012,17/03/2012,"$700,000",Multiple unit dwelling
Ainslie,2012,02/11/2012,"$689,000",Single residential dwelling
Ainslie,2012,18/10/2012,"$682,000",Single residential dwelling
Ainslie,2012,10/10/2012,"$680,000",Single residential dwelling
Ainslie,2012,27/10/2012,"$665,000",Multiple unit dwelling
Ainslie,2012,15/05/2012,"$650,000",–
Ainslie,2012,20/12/2012,"$645,000",–
Ainslie,2012,16/04/2012,"$625,000",Single residential dwelling
Ainslie,2012,02/03/2012,"$616,500",Single residential dwelling
Ainslie,2012,12/11/2012,"$615,000",Multiple unit dwelling
Ainslie,2012,12/01/2012,"$611,000",Single residential dwelling
Ainslie,2012,24/04/2012,"$611,000",Single residential dwelling
Ainslie,2012,09/03/2012,"$610,000",Single residential dwelling
Ainslie,2012,11/01/2012,"$608,000",Single residential dwelling
Ainslie,2012,16/02/2012,"$606,000",Single residential dwelling
Ainslie,2012,01/02/2012,"$600,000",–
Ainslie,2012,03/02/2012,"$585,000",Single residential dwelling
Ainslie,2012,24/10/2012,"$585,000",Single residential dwelling
Ainslie,2012,19/12/2012,"$577,000",Single residential dwelling
Ainslie,2012,01/02/2012,"$575,000",Single residential dwelling
Ainslie,2012,09/05/2012,"$575,000",Single residential dwelling...
Ainslie,2012,11/10/2012,"$571,183",Single residential dwelling
Ainslie,2012,04/07/2012,"$565,000",Multiple unit dwelling
Ainslie,2012,03/09/2012,"$560,000",–
Ainslie,2012,21/12/2012,"$560,000",–
Ainslie,2012,30/08/2012,"$550,000",–
Ainslie,2012,04/02/2012,"$540,000",Single residential dwelling
Ainslie,2012,17/12/2012,"$536,888",Single residential dwelling
Ainslie,2012,05/09/2012,"$532,000",–
Ainslie,2012,23/02/2012,"$525,000",Multiple unit dwelling
Ainslie,2012,17/03/2012,"$520,000",Multiple unit dwelling
Ainslie,2012,17/03/2012,"$520,000",–
Ainslie,2012,10/08/2012,"$470,000",–
Ainslie,2012,14/06/2012,"$337,500",Single residential dwelling
Ainslie,2012,06/01/2012,"$300,000",Single residential dwelling
Ainslie,2012,15/11/2012,"$295,000",Single residential dwelling
Ainslie,2012,24/07/2012,"$53,500",Single residential dwelling...
Ainslie,2012,18/02/2012,$0,Single residential dwelling
Ainslie,2012,27/04/2012,$0,Single residential dwelling
Ainslie,2012,08/02/2012,$0,Single residential dwelling
Ainslie,2012,30/09/2012,$0,Single residential dwelling
Ainslie,2012,12/12/2012,$0,Single residential dwelling
Ainslie,2012,10/12/2012,$0,Multiple unit dwelling
Ainslie,2012,01/08/2012,$0,Multiple unit dwelling
Ainslie,2012,11/10/2012,$0,Single residential dwelling
Ainslie,2012,02/01/2012,$0,Single residential dwelling
Ainslie,2012,28/05/2012,$0,Multiple unit dwelling
Ainslie,2012,29/08/2012,$0,Single residential dwelling
Ainslie,2012,22/05/2012,$0,Multiple unit dwelling
Ainslie,2012,26/01/2012,$0,Single residential dwelling
Ainslie,2012,03/09/2012,$0,Single residential dwelling
Ainslie,2012,14/05/2012,$0,Single residential dwelling...
Ainslie,2012,30/08/2012,$0,Single residential dwelling
Ainslie,2012,09/11/2012,$0,Single residential dwelling
Ainslie,2012,14/06/2012,$0,Single residential dwelling
Ainslie,2012,27/12/2012,$0,Single residential dwelling
Ainslie,2012,16/06/2012,$0,Single residential dwelling
Ainslie,2012,24/02/2012,$0,Single residential dwelling
Ainslie,2012,27/09/2012,$0,Single residential dwelling
Ainslie,2012,20/03/2012,$0,Single residential dwelling...
Ainslie,2012,19/01/2012,$0,Single residential dwelling
Ainslie,2013,30/10/2013,"$1,220,000",Single residential dwelling...
Ainslie,2013,30/05/2013,"$1,200,000",Single residential dwelling...
Ainslie,2013,29/08/2013,"$1,140,000",Single residential dwelling...
Ainslie,2013,22/04/2013,"$1,055,000",Single residential dwelling...
Ainslie,2013,20/07/2013,"$1,050,000",Single residential dwelling
Ainslie,2013,07/11/2013,"$915,000",Single residential dwelling
Ainslie,2013,07/08/2013,"$887,000",Single residential dwelling...
Ainslie,2013,27/06/2013,"$870,000",Single residential dwelling
Ainslie,2013,20/04/2013,"$847,000",Multiple unit dwelling
Ainslie,2013,20/04/2013,"$847,000",–
Ainslie,2013,23/09/2013,"$831,000",Single residential dwelling
Ainslie,2013,10/08/2013,"$825,000",Multiple unit dwelling
Ainslie,2013,24/08/2013,"$822,000",Single residential dwelling
Ainslie,2013,20/02/2013,"$820,500",Single residential dwelling
Ainslie,2013,31/10/2013,"$816,000",Single residential dwelling
Ainslie,2013,01/08/2013,"$815,000",Single residential dwelling
Ainslie,2013,18/12/2013,"$813,000",Single residential dwelling
Ainslie,2013,01/06/2013,"$812,000",–
Ainslie,2013,01/06/2013,"$812,000",Multiple unit dwelling
Ainslie,2013,18/04/2013,"$770,000",–
Ainslie,2013,18/04/2013,"$770,000",Multiple unit dwelling
Ainslie,2013,25/02/2013,"$770,000",Multiple unit dwelling
Ainslie,2013,02/11/2013,"$766,000",Single residential dwelling
Ainslie,2013,07/08/2013,"$761,000",–
Ainslie,2013,18/09/2013,"$760,000",Multiple unit dwelling
Ainslie,2013,01/06/2013,"$742,000",Single residential dwelling
Ainslie,2013,24/08/2013,"$740,000",Single residential dwelling...
Ainslie,2013,21/01/2013,"$735,000",Single residential dwelling
Ainslie,2013,09/01/2013,"$730,000",Single residential dwelling
Ainslie,2013,24/05/2013,"$730,000",Single residential dwelling
Ainslie,2013,26/10/2013,"$730,000",Single residential dwelling
Ainslie,2013,24/12/2013,"$717,000",Multiple unit dwelling
Ainslie,2013,27/03/2013,"$715,000",Single residential dwelling
Ainslie,2013,16/05/2013,"$711,000",Single residential dwelling
Ainslie,2013,03/06/2013,"$710,000",Single residential dwelling
Ainslie,2013,17/12/2013,"$710,000",Single residential dwelling...
Ainslie,2013,29/07/2013,"$707,000",Single residential dwelling
Ainslie,2013,19/10/2013,"$700,000",–
Ainslie,2013,12/10/2013,"$695,000",Single residential dwelling
Ainslie,2013,09/08/2013,"$690,000",Single residential dwelling
Ainslie,2013,13/06/2013,"$690,000",Single residential dwelling...
Ainslie,2013,04/02/2013,"$685,000",Single residential dwelling
Ainslie,2013,04/09/2013,"$682,500",Single residential dwelling
Ainslie,2013,19/12/2013,"$675,000",Single residential dwelling
Ainslie,2013,06/03/2013,"$672,000",Single residential dwelling
Ainslie,2013,09/05/2013,"$670,000",Single residential dwelling
Ainslie,2013,11/07/2013,"$669,950",For residential purposes only
Ainslie,2013,17/09/2013,"$665,000",Single residential dwelling
Ainslie,2013,02/10/2013,"$665,000",Single residential dwelling
Ainslie,2013,19/10/2013,"$661,000",–
Ainslie,2013,05/04/2013,"$660,000",Single residential dwelling
Ainslie,2013,05/02/2013,"$658,000",Single residential dwelling
Ainslie,2013,10/09/2013,"$658,000",Single residential dwelling...
Ainslie,2013,17/07/2013,"$652,500",Single residential dwelling
Ainslie,2013,05/06/2013,"$651,000",Single residential dwelling
Ainslie,2013,04/05/2013,"$650,000",–
Ainslie,2013,16/09/2013,"$650,000",Single residential dwelling
Ainslie,2013,26/10/2013,"$650,000",Single residential dwelling
Ainslie,2013,02/10/2013,"$645,000",Single residential dwelling
Ainslie,2013,21/08/2013,"$641,250",Single residential dwelling
Ainslie,2013,08/04/2013,"$640,000",Single residential dwelling
Ainslie,2013,26/10/2013,"$640,000",–
Ainslie,2013,30/08/2013,"$605,000",–
Ainslie,2013,02/03/2013,"$605,000",Single residential dwelling
Ainslie,2013,30/10/2013,"$605,000",Single residential dwelling...
Ainslie,2013,26/08/2013,"$600,000",Single residential dwelling
Ainslie,2013,16/05/2013,"$600,000",Single residential dwelling
Ainslie,2013,28/08/2013,"$599,000",Single residential dwelling...
Ainslie,2013,16/09/2013,"$595,000",Single residential dwelling
Ainslie,2013,21/10/2013,"$570,000",Single residential dwelling...
Ainslie,2013,05/04/2013,"$560,000",Single residential dwelling
Ainslie,2013,10/01/2013,"$553,000",Multiple unit dwelling
Ainslie,2013,02/11/2013,"$550,000",Multiple unit dwelling
Ainslie,2013,20/08/2013,"$550,000",Single residential dwelling...
Ainslie,2013,24/04/2013,"$540,000",Multiple unit dwelling
Ainslie,2013,03/07/2013,"$525,000",Single residential dwelling
Ainslie,2013,11/11/2013,"$520,000",–
Ainslie,2013,11/11/2013,"$520,000",Multiple unit dwelling
Ainslie,2013,12/11/2013,"$462,000",Multiple unit dwelling
Ainslie,2013,12/11/2013,"$462,000",–
Ainslie,2013,08/03/2013,"$450,000",Single residential dwelling
Ainslie,2013,04/02/2013,"$400,000",Self care units for aged pe...
Ainslie,2013,04/07/2013,"$390,000",Self care units for aged pe...
Ainslie,2013,18/04/2013,"$215,000",Single residential dwelling
Ainslie,2013,04/04/2013,"$119,000",Single residential dwelling
Ainslie,2013,23/12/2013,$0,Single residential dwelling
Ainslie,2013,29/08/2013,$0,Single residential dwelling
Ainslie,2013,03/03/2013,$0,Single residential dwelling
Ainslie,2013,15/02/2013,$0,Single residential dwelling
Ainslie,2013,09/01/2013,$0,Single residential dwelling
Ainslie,2013,12/07/2013,$0,Single residential dwelling
Ainslie,2013,18/07/2013,$0,Multiple unit dwelling
Ainslie,2013,30/07/2013,$0,Single residential dwelling
Ainslie,2013,30/06/2013,$0,Single residential dwelling
Ainslie,2013,13/06/2013,$0,Single residential dwelling
Ainslie,2013,02/10/2013,$0,Single residential dwelling
Ainslie,2013,24/01/2013,$0,Single residential dwelling
Ainslie,2013,10/07/2013,$0,Multiple unit dwelling
Ainslie,2013,08/01/2013,$0,Single residential dwelling
Ainslie,2013,03/04/2013,$0,Single residential dwelling
Ainslie,2013,06/09/2013,$0,Single residential dwelling
Ainslie,2013,16/01/2013,$0,Multiple unit dwelling
Ainslie,2013,04/04/2013,$0,Single residential dwelling
Ainslie,2013,19/09/2013,$0,Single residential dwelling
Ainslie,2013,12/01/2013,$0,Single residential dwelling
Ainslie,2013,14/07/2013,$0,Single residential dwelling
Ainslie,2013,30/05/2013,$0,Multiple unit dwelling
Ainslie,2014,18/12/2014,"$1,200,000",Single residential dwelling
Ainslie,2014,03/04/2014,"$1,085,000",Single residential dwelling
Ainslie,2014,01/12/2014,"$980,000",Single residential dwelling
Ainslie,2014,28/06/2014,"$970,000",Single residential dwelling
Ainslie,2014,19/12/2014,"$960,000",Single residential dwelling
Ainslie,2014,01/11/2014,"$950,000",Single residential dwelling
Ainslie,2014,25/09/2014,"$925,000",Single residential dwelling
Ainslie,2014,03/04/2014,"$895,000",Single residential dwelling
Ainslie,2014,06/12/2014,"$875,000",Single residential dwelling
Ainslie,2014,19/08/2014,"$870,000",Single residential dwelling
Ainslie,2014,30/04/2014,"$850,000",Single residential dwelling
Ainslie,2014,08/02/2014,"$845,000",Single residential dwelling
Ainslie,2014,26/11/2014,"$840,000",Single residential dwelling
Ainslie,2014,27/11/2014,"$840,000",–
Ainslie,2014,27/06/2014,"$840,000",Single residential dwelling
Ainslie,2014,22/12/2014,"$837,500",Single residential dwelling...
Ainslie,2014,14/04/2014,"$820,000",Single residential dwelling
Ainslie,2014,27/02/2014,"$810,000",Single residential dwelling
Ainslie,2014,20/09/2014,"$788,000",Single residential dwelling
Ainslie,2014,25/09/2014,"$785,000",Single residential dwelling
Ainslie,2014,08/03/2014,"$774,000",Single residential dwelling
Ainslie,2014,16/04/2014,"$760,000",Single residential dwelling
Ainslie,2014,05/04/2014,"$760,000",Single residential dwelling
Ainslie,2014,01/07/2014,"$739,000",Single residential dwelling
Ainslie,2014,20/08/2014,"$735,000",Single residential dwelling...
Ainslie,2014,04/04/2014,"$730,000",–
Ainslie,2014,04/04/2014,"$730,000",Single residential dwelling
Ainslie,2014,01/03/2014,"$725,000",–
Ainslie,2014,01/03/2014,"$725,000",Multiple unit dwelling
Ainslie,2014,08/04/2014,"$716,500",–
Ainslie,2014,27/10/2014,"$705,000",Single residential dwelling...
Ainslie,2014,21/06/2014,"$700,000",Single residential dwelling
Ainslie,2014,01/03/2014,"$700,000",Single residential dwelling
Ainslie,2014,22/11/2014,"$697,000",Single residential dwelling
Ainslie,2014,13/02/2014,"$695,000",Single residential dwelling
Ainslie,2014,19/08/2014,"$682,500",Single residential dwelling
Ainslie,2014,18/10/2014,"$680,000",Multiple unit dwelling
Ainslie,2014,18/10/2014,"$680,000",–
Ainslie,2014,31/03/2014,"$675,000",Single residential dwelling
Ainslie,2014,11/10/2014,"$670,000",Single residential dwelling
Ainslie,2014,12/12/2014,"$665,000",Single residential dwelling
Ainslie,2014,16/04/2014,"$663,000",Single residential dwelling
Ainslie,2014,22/09/2014,"$663,000",Multiple unit dwelling
Ainslie,2014,01/03/2014,"$655,000",Single residential dwelling
Ainslie,2014,24/09/2014,"$650,000",Single residential dwelling
Ainslie,2014,27/06/2014,"$650,000",Single residential dwelling
Ainslie,2014,12/06/2014,"$650,000",Single residential dwelling
Ainslie,2014,02/07/2014,"$650,000",Single residential dwelling
Ainslie,2014,07/10/2014,"$645,000",Single residential dwelling
Ainslie,2014,05/03/2014,"$645,000",Multiple unit dwelling
Ainslie,2014,18/06/2014,"$642,000",Multiple unit dwelling
Ainslie,2014,18/06/2014,"$642,000",–
Ainslie,2014,13/12/2014,"$641,000",Single residential dwelling
Ainslie,2014,30/09/2014,"$630,000",Single residential dwelling
Ainslie,2014,31/05/2014,"$620,000",Multiple unit dwelling
Ainslie,2014,31/05/2014,"$620,000",–
Ainslie,2014,27/09/2014,"$617,000",Single residential dwelling
Ainslie,2014,14/10/2014,"$615,000",Single residential dwelling...
Ainslie,2014,03/09/2014,"$610,000",Single residential dwelling
Ainslie,2014,22/03/2014,"$608,000",Single residential dwelling
Ainslie,2014,30/01/2014,"$600,000",Single residential dwelling
Ainslie,2014,24/04/2014,"$596,000",Single residential dwelling
Ainslie,2014,22/10/2014,"$595,000",Single residential dwelling...
Ainslie,2014,04/03/2014,"$560,000",Single residential dwelling...
Ainslie,2014,02/04/2014,"$560,000",Single residential dwelling...
Ainslie,2014,24/04/2014,"$550,000",Single residential dwelling
Ainslie,2014,27/06/2014,"$520,000",–
Ainslie,2014,06/06/2014,"$515,000",Single residential dwelling...
Ainslie,2014,18/08/2014,"$480,000",Single residential dwelling
Ainslie,2014,12/06/2014,"$450,000",Single residential dwelling
Ainslie,2014,23/05/2014,"$426,666",Multiple unit dwelling
Ainslie,2014,26/02/2014,"$410,000",Single residential dwelling
Ainslie,2014,11/04/2014,$0,Single residential dwelling
Ainslie,2014,27/10/2014,$0,Single residential dwelling
Ainslie,2014,13/06/2014,$0,Single residential dwelling
Ainslie,2014,29/06/2014,$0,Single residential dwelling
Ainslie,2014,09/12/2014,$0,Single residential dwelling
Ainslie,2014,07/11/2014,$0,Single residential dwelling
Ainslie,2014,21/03/2014,$0,Single residential dwelling
Ainslie,2014,04/06/2014,$0,Single residential dwelling
Ainslie,2014,16/01/2014,$0,Single residential dwelling
Ainslie,2014,22/09/2014,$0,Single residential dwelling
Ainslie,2014,21/10/2014,$0,Multiple unit dwelling
Ainslie,2014,04/01/2014,$0,Single residential dwelling
Ainslie,2014,25/11/2014,$0,Single residential dwelling
Ainslie,2014,28/04/2014,$0,Single residential dwelling
Ainslie,2014,20/02/2014,$0,Single residential dwelling
Ainslie,2014,26/08/2014,$0,Single residential dwelling
Ainslie,2014,29/08/2014,$0,Single residential dwelling
Ainslie,2014,13/11/2014,$0,Single residential dwelling
Ainslie,2014,16/12/2014,$0,Multiple unit dwelling
Ainslie,2014,26/08/2014,$0,Single residential dwelling
Ainslie,2014,11/04/2014,$0,Single residential dwelling
Ainslie,2014,24/08/2014,$0,Single residential dwelling
Ainslie,2014,10/10/2014,$0,Single residential dwelling
Ainslie,2014,30/07/2014,$0,Single residential dwelling...
Ainslie,2014,08/08/2014,$0,Single residential dwelling
Ainslie,2014,09/03/2014,$0,Single residential dwelling
Ainslie,2014,14/04/2014,$0,Single residential dwelling
Ainslie,2014,25/05/2014,$0,Single residential dwelling
Ainslie,2014,11/02/2014,$0,Non retail commercial uses
Ainslie,2015,08/08/2015,"$1,800,000",Single residential dwelling
Ainslie,2015,29/08/2015,"$1,370,000",Single residential dwelling
Ainslie,2015,10/11/2015,"$1,370,000",Single residential dwelling...
Ainslie,2015,22/08/2015,"$1,344,000",–
Ainslie,2015,10/12/2015,"$1,300,000",Single residential dwelling
Ainslie,2015,01/07/2015,"$1,292,000",Single residential dwelling
Ainslie,2015,23/05/2015,"$1,280,000",Single residential dwelling
Ainslie,2015,20/02/2015,"$1,250,000",Single residential dwelling
Ainslie,2015,27/08/2015,"$1,220,000",Single residential dwelling
Ainslie,2015,16/05/2015,"$1,203,000",Single residential dwelling
Ainslie,2015,15/05/2015,"$1,203,000",–
Ainslie,2015,30/05/2015,"$1,115,000",–
Ainslie,2015,30/05/2015,"$1,115,000",Multiple unit dwelling
Ainslie,2015,14/11/2015,"$1,110,000",Single residential dwelling
Ainslie,2015,18/04/2015,"$1,105,000",–
Ainslie,2015,02/05/2015,"$1,100,000",Single residential dwelling
Ainslie,2015,01/10/2015,"$1,075,000",Single residential dwelling
Ainslie,2015,31/10/2015,"$1,070,000",Single residential dwelling
Ainslie,2015,25/03/2015,"$1,050,000",Single residential dwelling
Ainslie,2015,05/09/2015,"$1,012,000",Single residential dwelling
Ainslie,2015,01/10/2015,"$1,000,000",Single residential dwelling
Ainslie,2015,23/09/2015,"$1,000,000",Single residential dwelling...
Ainslie,2015,03/12/2015,"$1,000,000",–
