suburb,year,date,price,type
Acton,2012,29/06/2012,"$630,000",–
Acton,2013,20/12/2013,"$1,047,500",–
Acton,2013,20/12/2013,"$1,047,500",–
Acton,2014,21/09/2014,"$895,000",–
Acton,2014,15/07/2014,"$710,000",–
Acton,2014,31/01/2014,"$593,000",–
Acton,2014,22/07/2014,"$580,000",–
Acton,2014,22/05/2014,"$520,000",–
Acton,2014,14/10/2014,"$502,500",–
Acton,2014,21/11/2014,"$424,000",–
Acton,2015,17/11/2015,"$835,000",–
Acton,2015,09/04/2015,"$550,000",–
Acton,2015,30/09/2015,"$380,000",–
Acton,2015,22/09/2015,"$380,000",–
Acton,2016,17/02/2016,"$970,000",–
Acton,2016,12/09/2016,"$785,000",–
Acton,2016,23/09/2016,"$637,500",–
Acton,2016,09/02/2016,"$547,000",–
Acton,2016,30/06/2016,"$410,000",–
Acton,2017,23/10/2017,"$795,000",–
Acton,2017,23/06/2017,"$710,000",–
Acton,2017,08/12/2017,"$596,000",–
Acton,2017,30/11/2017,"$570,000",–
Acton,2017,14/09/2017,"$520,000",–
Acton,2018,12/11/2018,"$1,320,000",–
Acton,2018,14/09/2018,"$1,295,000",–
Acton,2018,29/03/2018,"$1,240,000",–
Acton,2018,18/01/2018,"$1,180,000",–
Acton,2018,21/09/2018,"$620,000",–
Acton,2018,10/08/2018,"$589,000",–
Acton,2018,25/10/2018,"$515,000",–
Acton,2018,20/09/2018,"$490,000",–
Acton,2018,09/03/2018,"$400,000",–
Acton,2019,11/07/2019,"$630,000",–
Acton,2020,02/12/2020,"$557,000",–
Ainslie,2011,04/11/2011,"$1,100,000",Single residential dwelling
Ainslie,2011,19/02/2011,"$1,050,000",Single residential dwelling
Ainslie,2011,31/10/2011,"$980,000",Single residential dwelling
Ainslie,2011,17/02/2011,"$950,000",Single residential dwelling
Ainslie,2011,29/11/2011,"$940,000",Single residential dwelling
Ainslie,2011,18/10/2011,"$930,000",Single residential dwelling...
Ainslie,2011,05/03/2011,"$870,000",Single residential dwelling
Ainslie,2011,27/10/2011,"$855,000",Multiple unit dwelling
Ainslie,2011,27/10/2011,"$855,000",–
Ainslie,2011,26/03/2011,"$845,000",Single residential dwelling
Ainslie,2011,06/08/2011,"$817,500",Single residential dwelling
Ainslie,2011,27/07/2011,"$812,500",Single residential dwelling
Ainslie,2011,17/09/2011,"$806,250",Single residential dwelling
Ainslie,2011,15/02/2011,"$805,000",Single residential dwelling...
Ainslie,2011,20/08/2011,"$791,000",Multiple unit dwelling
Ainslie,2011,20/08/2011,"$791,000",–
Ainslie,2011,16/07/2011,"$782,000",Single residential dwelling
Ainslie,2011,22/03/2011,"$775,500",Single residential dwelling...
Ainslie,2011,24/03/2011,"$775,000",Multiple unit dwelling
Ainslie,2011,04/06/2011,"$775,000",Single residential dwelling
Ainslie,2011,30/07/2011,"$761,000",Single residential dwelling...
Ainslie,2011,26/03/2011,"$750,000",Multiple unit dwelling
Ainslie,2011,29/06/2011,"$750,000",Single residential dwelling...
Ainslie,2011,26/03/2011,"$750,000",–
Ainslie,2011,20/09/2011,"$749,000",Single residential dwelling...
Ainslie,2011,08/04/2011,"$748,000",Single residential dwelling
Ainslie,2011,20/07/2011,"$747,000",Single residential dwelling
Ainslie,2011,07/05/2011,"$744,000",Single residential dwelling
Ainslie,2011,11/08/2011,"$740,000",Single residential dwelling
Ainslie,2011,07/05/2011,"$735,000",Single residential dwelling
Ainslie,2011,29/10/2011,"$735,000",Single residential dwelling
Ainslie,2011,26/05/2011,"$735,000",Single residential dwelling
Ainslie,2011,31/05/2011,"$733,000",Single residential dwelling
Ainslie,2011,17/12/2011,"$730,000",Single residential dwelling
Ainslie,2011,26/03/2011,"$725,000",–
Ainslie,2011,26/03/2011,"$725,000",–
Ainslie,2011,26/03/2011,"$725,000",Multiple unit dwelling
