date,price
2011-02-07,630000
2011-02-07,435000
2011-02-07,485000
2011-02-07,605000
2011-02-08,540000
2011-02-08,565000
2011-02-08,480000
2011-02-08,154150
2011-02-08,560000
2011-02-08,240000
2011-02-08,544000
2011-02-08,490500
2011-02-08,540000
2011-02-08,273500
2011-02-08,1740000
2011-02-08,477000
2011-02-08,625000
2011-02-08,497500
2011-02-08,465000
2011-02-08,468000
2011-02-08,900000
2011-02-08,438000
2011-02-09,616000
2011-02-09,600000
2011-02-09,462000
2011-02-09,515000
2011-02-09,690000
2011-02-09,425000
2011-02-09,842000
2011-02-09,520000
2011-02-09,425000
2011-02-09,670000
2011-02-09,900000
2011-02-09,200000
2011-02-09,360000
2011-02-09,720000
2011-02-09,459000
2011-02-09,695000
2011-02-09,662500
2011-02-09,475000
2011-02-10,650000
2011-02-10,622000
2011-02-10,648000
2011-02-10,539000
2011-02-10,700000
2011-02-10,420000
2011-02-10,530000
2011-02-10,546720
2011-02-10,458280
2011-02-10,315000
2011-02-10,585000
2011-02-10,410000
2011-02-10,294000
2011-02-10,505000
2011-02-10,625000
2011-02-10,461000
2011-02-10,620000
2011-02-10,380000
2011-02-10,600000
2011-02-11,550000
2011-02-11,220000
2011-02-11,650000
2011-02-11,605000
2011-02-11,605000
2011-02-11,415000
2011-02-11,850000
2011-02-11,583500
2011-02-11,440000
2011-02-11,820000
2011-02-11,522000
2011-02-11,520000
2011-02-11,730000
2011-02-11,705000
2011-02-11,652000
2011-02-11,768000
2011-02-11,529950
2011-02-11,500000
2011-02-11,602000
2011-02-11,233000
2011-02-12,975000
2011-02-12,265000
2011-02-12,456000
2011-02-12,735000
2011-02-12,470000
2011-02-12,225000
2011-02-12,1220000
2011-02-12,926000
2011-02-12,1000000
2011-02-12,717250
2011-02-13,240000
2011-02-14,210000
2011-02-14,225000
2011-02-14,445000
2011-02-14,480000
2011-02-14,481000
2011-02-14,551000
2011-02-14,384000
2011-02-14,700000
2011-02-14,505000
2011-02-14,510000
2011-02-14,210000
2011-02-14,205000
2011-02-15,352500
2011-02-15,505000
2011-02-15,519000
2011-02-15,635000
2011-02-15,476000
2011-02-15,475000
2011-02-15,451000
2011-02-15,812500
2011-02-15,620000
2011-02-15,770000
2011-02-15,550000
2011-02-15,207000
2011-02-15,429000
2011-02-15,1100000
2011-02-15,755000
2011-02-15,560000
2011-02-15,656000
2011-02-15,460000
2011-02-15,485000
2011-02-15,466000
2011-02-15,215000
2011-02-15,267000
2011-02-16,420000
2011-02-16,77000
2011-02-16,77000
2011-02-16,78000
2011-02-16,539000
2011-02-16,500000
2011-02-16,1347500
2011-02-16,420000
2011-02-16,470000
2011-02-16,380000
2011-02-16,1350001
2011-02-16,615000
2011-02-16,600000
2011-02-16,831000
2011-02-16,220000
2011-02-16,370000
2011-02-16,460000
2011-02-16,316500
2011-02-16,531000
2011-02-16,141666
2011-02-16,465000
2011-02-16,642000
2011-02-17,330000
2011-02-17,620000
2011-02-17,600000
2011-02-17,950000
2011-02-17,462000
2011-02-17,528000
2011-02-17,545000
2011-02-17,400000
2011-02-17,580000
2011-02-17,221000
2011-02-17,587000
2011-02-17,760000
2011-02-17,500000
2011-02-17,471000
2011-02-18,438000
2011-02-18,755000
2011-02-18,980000
2011-02-18,512000
2011-02-18,565000
2011-02-18,616500
2011-02-18,446000
2011-02-18,273500
2011-02-18,623000
2011-02-18,281000
2011-02-18,560000
2011-02-18,552000
2011-02-18,610000
2011-02-18,510000
2011-02-18,435000
2011-02-18,429500
2011-02-18,1150000
2011-02-18,755000
2011-02-18,370000
2011-02-18,750000
2011-02-18,624000
2011-02-18,920000
2011-02-18,527000
2011-02-18,505000
2011-02-18,420000
2011-02-18,430000
2011-02-19,855000
2011-02-19,780000
2011-02-19,1050000
2011-02-19,880000
2011-02-19,925000
2011-02-19,230000
2011-02-19,736000
2011-02-19,412000
2011-02-19,498000
2011-02-19,451000
2011-02-19,580000
2011-02-19,645000
2011-02-19,515000
2011-02-19,500000
2011-02-19,460000
2011-02-19,990000
2011-02-19,523000
2011-02-20,195000
2011-02-21,429000
2011-02-21,555000
2011-02-21,583000
2011-02-21,442500
2011-02-21,665000
2011-02-21,440000
2011-02-21,92000
2011-02-21,550000
2011-02-21,456000
2011-02-21,545000
2011-02-21,3330000
2011-02-22,780000
2011-02-22,657000
2011-02-22,705000
2011-02-22,562500
2011-02-22,520688
2011-02-22,475000
2011-02-22,399000
2011-02-22,643500
2011-02-22,446000
2011-02-22,420000
2011-02-22,255000
2011-02-22,610000
2011-02-22,319000
2011-02-22,515000
2011-02-22,506500
2011-02-22,707000
2011-02-23,482000
2011-02-23,737500
2011-02-23,725000
2011-02-23,422500
2011-02-23,615000
2011-02-23,197500
2011-02-23,229000
2011-02-23,480000
2011-02-23,550000
2011-02-23,492500
2011-02-23,491000
2011-02-23,690000
2011-02-23,920000
2011-02-23,607500
2011-02-23,638000
2011-02-23,620000
2011-02-24,540000
2011-02-24,677000
2011-02-24,590000
2011-02-24,545000
2011-02-24,225000
2011-02-24,545000
2011-02-24,283000
2011-02-24,450000
2011-02-24,285000
2011-02-24,630000
2011-02-24,570000
2011-02-24,470000
2011-02-24,570000
2011-02-24,867650
2011-02-24,637000
2011-02-24,250000
2011-02-25,469000
2011-02-25,465000
2011-02-25,465000
2011-02-25,256000
2011-02-25,532500
2011-02-25,409000
2011-02-25,510000
2011-02-25,419000
2011-02-25,12783
2011-02-25,552500
2011-02-25,455000
2011-02-25,586000
2011-02-25,425000
2011-02-25,868000
2011-02-25,481000
2011-02-25,482000
2011-02-25,910000
2011-02-25,682500
2011-02-25,413000
2011-02-25,670000
2011-02-25,486500
2011-02-25,655000
2011-02-25,780000
2011-02-25,561000
2011-02-25,550000
2011-02-25,307500
2011-02-25,540000
2011-02-25,511000
2011-02-25,570000
2011-02-25,731000
2011-02-25,395000
2011-02-25,750000
2011-02-25,655000
2011-02-25,255000
2011-02-26,588000
2011-02-26,1400000
2011-02-26,627500
2011-02-26,900000
2011-02-26,750000
2011-02-26,715000
2011-02-26,555000
2011-02-26,672000
2011-02-26,502500
2011-02-26,474000
2011-02-26,660000
2011-02-26,862000
2011-02-26,225000
2011-02-26,837000
2011-02-27,745000
2011-02-28,302500
2011-02-28,535000
2011-02-28,265000
2011-02-28,530000
2011-02-28,270000
2011-02-28,650000
2011-02-28,425000
2011-02-28,254000
2011-02-28,665000
2011-02-28,1140000
2011-03-01,507500
2011-03-01,510000
2011-03-01,600000
2011-03-01,240000
2011-03-01,499500
2011-03-01,415500
2011-03-01,720000
2011-03-01,221000
2011-03-01,750000
2011-03-01,305000
2011-03-01,419134
2011-03-01,500000
2011-03-01,525000
2011-03-01,321000
2011-03-01,465000
2011-03-01,449000
2011-03-01,725000
2011-03-01,580000
2011-03-01,420000
2011-03-01,715000
2011-03-01,665000
2011-03-01,675000
2011-03-01,283000
2011-03-01,500000
2011-03-02,245000
2011-03-02,260000
2011-03-02,440500
2011-03-02,505000
2011-03-02,210000
2011-03-02,875000
2011-03-02,299000
2011-03-02,720000
2011-03-02,442500
2011-03-02,565000
2011-03-02,435000
2011-03-02,620000
2011-03-02,473000
2011-03-02,312000
2011-03-02,720000
2011-03-02,477500
2011-03-02,600000
2011-03-02,610000
2011-03-02,533000
2011-03-03,955000
2011-03-03,420000
2011-03-03,395000
2011-03-03,505000
2011-03-03,678000
2011-03-03,311000
2011-03-03,565200
2011-03-03,245000
2011-03-03,665000
2011-03-03,450000
2011-03-03,428100
2011-03-03,233000
2011-03-03,580000
2011-03-03,350000
2011-03-03,338000
2011-03-03,366000
2011-03-03,540000
2011-03-03,647750
2011-03-03,587000
2011-03-03,585000
2011-03-03,343000
2011-03-03,390000
2011-03-03,270000
2011-03-03,338000
2011-03-04,440000
2011-03-04,537000
2011-03-04,750000
2011-03-04,465000
2011-03-04,270000
2011-03-04,520000
2011-03-04,571500
2011-03-04,611000
2011-03-04,950000
2011-03-04,365000
2011-03-04,255000
2011-03-04,635000
2011-03-04,455000
2011-03-04,538000
2011-03-04,595000
2011-03-04,480000
2011-03-04,505000
2011-03-04,260000
2011-03-04,425000
2011-03-04,332500
2011-03-04,262500
2011-03-04,485000
2011-03-04,430000
2011-03-04,610000
2011-03-04,590000
2011-03-04,565000
2011-03-05,568000
2011-03-05,618000
2011-03-05,516000
2011-03-05,572000
2011-03-05,535000
2011-03-05,945000
2011-03-05,637000
2011-03-05,654000
2011-03-05,448500
2011-03-05,850000
2011-03-05,482000
2011-03-05,538000
2011-03-05,511000
2011-03-05,522000
2011-03-05,810000
2011-03-05,870000
2011-03-05,702000
2011-03-05,940000
2011-03-05,699000
2011-03-07,1100000
2011-03-07,380000
2011-03-07,660000
2011-03-07,500000
2011-03-07,252500
2011-03-07,410000
2011-03-07,505000
2011-03-07,480500
2011-03-07,100000
2011-03-07,256000
2011-03-07,265500
2011-03-07,2911080
2011-03-07,442500
2011-03-07,247500
2011-03-07,307000
2011-03-07,606000
2011-03-07,665000
2011-03-07,487500
2011-03-07,233000
2011-03-07,239000
2011-03-08,434000
2011-03-08,490000
2011-03-08,390000
2011-03-08,525000
2011-03-08,580000
2011-03-08,660000
2011-03-08,283000
2011-03-08,1100000
2011-03-08,1120000
2011-03-08,540000
2011-03-08,750000
2011-03-08,945000
2011-03-08,446000
2011-03-08,667000
2011-03-09,520000
2011-03-09,780000
2011-03-09,295000
2011-03-09,570000
2011-03-09,300000
2011-03-09,1200000
2011-03-09,365000
2011-03-09,480000
2011-03-09,444900
2011-03-09,920000
2011-03-09,424590
2011-03-09,480000
2011-03-09,710000
2011-03-09,650000
2011-03-09,411500
2011-03-09,499000
2011-03-09,430000
2011-03-09,694000
2011-03-10,683000
2011-03-10,540000
2011-03-10,318500
2011-03-10,296000
2011-03-10,1700000
2011-03-10,480000
2011-03-10,315000
2011-03-10,555000
2011-03-10,543000
2011-03-10,555000
2011-03-10,452500
2011-03-10,379000
2011-03-10,737000
2011-03-11,560000
2011-03-11,517000
2011-03-11,950000
2011-03-11,835000
2011-03-11,445000
2011-03-11,465000
2011-03-11,645000
2011-03-11,595000
2011-03-11,975000
2011-03-11,465000
2011-03-11,485000
2011-03-11,410000
2011-03-11,555000
2011-03-11,600000
2011-03-11,567632
2011-03-12,1235000
2011-03-12,1750000
2011-03-12,446000
2011-03-14,565000
2011-03-15,615000
2011-03-15,507500
2011-03-15,470000
2011-03-15,720000
2011-03-15,223000
2011-03-15,440000
2011-03-15,450000
2011-03-15,1275000
2011-03-15,485000
2011-03-15,490000
2011-03-15,769000
2011-03-16,561000
2011-03-16,440000
2011-03-16,731000
2011-03-16,555000
2011-03-16,570000
2011-03-16,620000
2011-03-16,1100000
2011-03-16,602000
2011-03-16,476250
2011-03-16,187000
2011-03-16,857500
2011-03-16,771000
2011-03-16,382000
2011-03-16,241667
2011-03-16,545000
2011-03-16,372500
2011-03-17,440000
2011-03-17,655100
2011-03-17,395000
2011-03-17,567000
2011-03-17,435000
2011-03-17,405000
2011-03-17,472500
2011-03-17,311000
2011-03-17,395000
2011-03-17,556000
2011-03-18,560000
2011-03-18,418000
2011-03-18,445000
2011-03-18,460000
2011-03-18,263000
2011-03-18,530000
2011-03-18,275000
2011-03-18,485000
2011-03-18,1015000
2011-03-18,520000
2011-03-18,645000
2011-03-18,400000
2011-03-18,470000
2011-03-18,216000
2011-03-18,512500
2011-03-18,631500
2011-03-18,890000
2011-03-18,498950
2011-03-18,400000
2011-03-18,750000
2011-03-19,970000
2011-03-19,820000
2011-03-19,1310000
2011-03-19,576000
2011-03-19,482000
2011-03-19,490000
2011-03-19,895000
2011-03-19,687000
2011-03-19,982000
2011-03-19,694000
2011-03-19,601000
2011-03-19,900000
2011-03-19,805000
2011-03-19,1230000
2011-03-20,790000
2011-03-21,585000
2011-03-21,445000
2011-03-21,478000
2011-03-21,240000
2011-03-21,590000
2011-03-21,610000
2011-03-21,323000
2011-03-21,615550
2011-03-21,430000
2011-03-21,505000
2011-03-21,353000
2011-03-21,635000
2011-03-21,395000
2011-03-21,410000
2011-03-21,685000
2011-03-21,510000
2011-03-21,525000
2011-03-22,490000
2011-03-22,650000
2011-03-22,3250000
2011-03-22,562500
2011-03-22,542000
2011-03-22,770000
2011-03-22,750000
2011-03-22,438000
2011-03-22,485000
2011-03-23,580000
2011-03-23,283000
2011-03-23,755000
2011-03-23,530000
2011-03-23,518000
2011-03-23,430000
2011-03-23,685000
2011-03-23,445000
2011-03-23,720000
2011-03-23,759000
2011-03-23,176000
2011-03-23,970000
2011-03-23,475000
2011-03-23,460000
2011-03-23,216000
2011-03-23,685000
2011-03-23,1500000
2011-03-23,1200000
2011-03-24,490000
2011-03-24,585000
2011-03-24,286500
2011-03-24,241000
2011-03-24,525000
2011-03-24,497500
2011-03-24,442900
2011-03-24,520000
2011-03-24,221000
2011-03-24,540000
2011-03-24,790000
2011-03-24,288000
