month,suburb,count
2012-10-01,Forrest,1
2012-10-01,Griffith,4
2012-10-01,Narrabundah,1
2012-10-01,Pialligo,1
2012-10-01,Red Hill,2
2012-10-01,Yarralumla,1
2012-11-01,Campbell,2
2012-11-01,Curtin,1
2012-11-01,Deakin,1
2012-11-01,Farrer,2
2012-11-01,Garran,1
2012-11-01,Griffith,4
2012-11-01,Narrabundah,1
2012-11-01,Nicholls,2
2012-11-01,Pearce,1
2012-11-01,Red Hill,3
2012-11-01,Yarralumla,2
2012-12-01,Barton,1
2012-12-01,Bruce,1
2012-12-01,Campbell,2
2012-12-01,Chapman,1
2012-12-01,Duffy,1
2012-12-01,Farrer,1
2012-12-01,Forrest,1
2012-12-01,Griffith,6
2012-12-01,Hughes,1
2012-12-01,Kingston,1
2012-12-01,Nicholls,1
2012-12-01,O'Malley,1
2012-12-01,Pialligo,1
2012-12-01,Red Hill,2
2012-12-01,Turner,1
2012-12-01,Yarralumla,1
2013-01-01,Campbell,1
2013-01-01,Farrer,1
2013-01-01,Griffith,1
2013-01-01,Red Hill,1
2013-01-01,Turner,1
2013-02-01,Deakin,1
2013-02-01,Griffith,2
2013-02-01,Melba,1
2013-02-01,Nicholls,1
2013-02-01,O'Malley,1
2013-02-01,Red Hill,1
2013-03-01,Bruce,1
2013-03-01,Campbell,1
2013-03-01,Curtin,1
2013-03-01,Deakin,3
2013-03-01,Forde,1
2013-03-01,Garran,1
2013-03-01,Griffith,3
2013-03-01,Hackett,1
2013-03-01,Hughes,1
2013-03-01,Nicholls,1
2013-03-01,O'Malley,1
2013-03-01,Pearce,2
2013-03-01,Red Hill,3
2013-04-01,Curtin,1
2013-04-01,Farrer,1
2013-04-01,Forrest,1
2013-04-01,Garran,1
2013-04-01,Griffith,1
2013-04-01,Kingston,1
2013-04-01,Narrabundah,1
2013-04-01,Nicholls,1
2013-04-01,O'Connor,1
2013-04-01,Red Hill,3
2013-04-01,Turner,2
2013-04-01,Yarralumla,1
2013-05-01,Bruce,1
2013-05-01,Campbell,1
2013-05-01,Curtin,1
2013-05-01,Deakin,2
2013-05-01,Griffith,4
2013-05-01,Hughes,1
2013-05-01,Nicholls,1
2013-05-01,O'Connor,1
2013-05-01,Red Hill,1
2013-05-01,Reid,1
2013-05-01,Turner,1
2013-05-01,Yarralumla,2
2013-06-01,Campbell,2
2013-06-01,Chapman,1
2013-06-01,Crace,1
2013-06-01,Deakin,1
2013-06-01,Farrer,1
2013-06-01,Forrest,2
2013-06-01,Hall,1
2013-06-01,O'Connor,1
2013-06-01,O'Malley,1
2013-06-01,Red Hill,3
2013-06-01,Yarralumla,1
2013-07-01,Ainslie,1
2013-07-01,Bruce,1
2013-07-01,Deakin,1
2013-07-01,Griffith,1
2013-07-01,Red Hill,1
2013-07-01,Yarralumla,1
2013-08-01,Campbell,1
2013-08-01,Chapman,1
2013-08-01,Conder,1
2013-08-01,Forrest,2
2013-08-01,Garran,1
2013-08-01,Griffith,3
2013-08-01,Kingston,1
2013-08-01,O'Connor,1
2013-08-01,Reid,1
2013-08-01,Turner,1
2013-09-01,Braddon,1
2013-09-01,Campbell,1
2013-09-01,Griffith,2
2013-09-01,Nicholls,1
2013-09-01,O'Connor,1
2013-09-01,Red Hill,1
2013-09-01,Yarralumla,1
2013-10-01,Campbell,1
2013-10-01,Fisher,1
2013-10-01,Griffith,3
2013-10-01,Kambah,1
2013-10-01,Narrabundah,1
2013-10-01,Nicholls,1
2013-10-01,Red Hill,3
2013-10-01,Turner,1
2013-10-01,Yarralumla,3
2013-11-01,Campbell,3
2013-11-01,Curtin,1
2013-11-01,Deakin,1
2013-11-01,Forrest,5
2013-11-01,Garran,1
2013-11-01,Griffith,3
2013-11-01,Isaacs,1
2013-11-01,Melba,1
2013-11-01,Narrabundah,1
2013-11-01,Nicholls,1
2013-11-01,Red Hill,2
2013-11-01,Turner,1
2013-11-01,Yarralumla,1
2013-12-01,Campbell,1
2013-12-01,Chapman,1
2013-12-01,Forrest,1
2013-12-01,Griffith,3
2013-12-01,O'Connor,2
2013-12-01,Red Hill,3
2013-12-01,Reid,1
2013-12-01,Turner,2
2013-12-01,Yarralumla,4
2014-01-01,Barton,1
2014-01-01,Garran,1
2014-01-01,Griffith,1
2014-01-01,O'Connor,1
2014-01-01,Yarralumla,1
2014-02-01,Conder,1
2014-02-01,Deakin,4
2014-02-01,Forrest,1
2014-02-01,Garran,1
2014-02-01,Griffith,2
2014-02-01,Hawker,1
2014-02-01,Hughes,1
2014-02-01,Lyneham,1
2014-02-01,O'Malley,2
2014-02-01,Turner,2
2014-02-01,Yarralumla,3
2014-03-01,Aranda,1
2014-03-01,Barton,1
2014-03-01,Chifley,1
2014-03-01,Curtin,1
2014-03-01,Deakin,1
2014-03-01,Duffy,1
2014-03-01,Forrest,1
2014-03-01,Garran,3
2014-03-01,Griffith,4
2014-03-01,Hackett,1
2014-03-01,Kingston,4
2014-03-01,McKellar,1
2014-03-01,Narrabundah,1
2014-03-01,Nicholls,1
2014-03-01,O'Connor,1
2014-03-01,Pearce,4
2014-03-01,Red Hill,3
2014-03-01,Reid,1
2014-03-01,Turner,1
2014-04-01,Ainslie,1
2014-04-01,Amaroo,1
2014-04-01,Chapman,2
2014-04-01,Farrer,1
2014-04-01,Franklin,1
2014-04-01,Griffith,3
2014-04-01,Hackett,1
2014-04-01,Hall,1
2014-04-01,Lyneham,1
2014-04-01,Mawson,1
2014-04-01,Yarralumla,2
2014-05-01,Chapman,1
2014-05-01,Deakin,1
2014-05-01,Farrer,1
2014-05-01,Forrest,1
2014-05-01,Gordon,1
2014-05-01,Hall,1
2014-05-01,Hughes,1
2014-05-01,Kingston,1
2014-05-01,Mawson,1
2014-05-01,Nicholls,1
2014-05-01,O'Malley,1
2014-05-01,Red Hill,2
2014-05-01,Reid,1
2014-05-01,Yarralumla,1
2014-06-01,Barton,1
2014-06-01,Braddon,1
2014-06-01,Campbell,1
2014-06-01,Forrest,3
2014-06-01,Griffith,1
2014-06-01,Kambah,1
2014-06-01,Narrabundah,1
2014-06-01,Ngunnawal,1
2014-06-01,O'Connor,2
2014-06-01,Red Hill,3
2014-06-01,Yarralumla,1
2014-07-01,Chapman,1
2014-07-01,Curtin,1
2014-07-01,Deakin,1
2014-07-01,Forrest,2
2014-07-01,Griffith,1
2014-07-01,Hughes,1
2014-07-01,Narrabundah,1
2014-07-01,Red Hill,1
2014-07-01,Yarralumla,1
2014-08-01,Braddon,1
2014-08-01,Curtin,3
2014-08-01,Forrest,1
2014-08-01,Griffith,1
2014-08-01,Narrabundah,1
2014-08-01,O'Connor,2
2014-08-01,O'Malley,1
2014-08-01,Red Hill,1
2014-08-01,Turner,1
2014-08-01,Yarralumla,2
2014-09-01,Campbell,2
2014-09-01,Curtin,1
2014-09-01,Deakin,2
2014-09-01,Farrer,1
2014-09-01,Garran,2
2014-09-01,Griffith,2
2014-09-01,Hughes,1
2014-09-01,Kingston,1
2014-09-01,Mawson,1
2014-09-01,Nicholls,1
2014-09-01,Red Hill,3
2014-09-01,Reid,1
2014-09-01,Yarralumla,1
2014-10-01,Aranda,1
2014-10-01,Bruce,1
2014-10-01,Campbell,4
2014-10-01,Curtin,1
2014-10-01,Deakin,1
2014-10-01,Forrest,2
2014-10-01,Garran,1
2014-10-01,Hackett,1
2014-10-01,Hughes,1
2014-10-01,Nicholls,1
2014-10-01,Red Hill,3
2014-10-01,Reid,1
2014-10-01,Yarralumla,3
2014-11-01,Bruce,1
2014-11-01,Campbell,3
2014-11-01,Coombs,1
2014-11-01,Curtin,2
2014-11-01,Deakin,2
2014-11-01,Duffy,1
2014-11-01,Forde,1
2014-11-01,Forrest,3
2014-11-01,Garran,2
2014-11-01,Griffith,3
2014-11-01,Kambah,1
2014-11-01,Lyons,1
2014-11-01,McKellar,1
2014-11-01,Narrabundah,1
2014-11-01,Nicholls,3
2014-11-01,O'Connor,2
2014-11-01,O'Malley,1
2014-11-01,Red Hill,2
2014-11-01,Reid,2
2014-11-01,Turner,1
2014-11-01,Yarralumla,8
2014-12-01,Ainslie,1
2014-12-01,Barton,1
2014-12-01,Campbell,1
2014-12-01,Chapman,1
2014-12-01,Curtin,1
2014-12-01,Deakin,2
2014-12-01,Forrest,1
2014-12-01,Garran,1
2014-12-01,Griffith,5
2014-12-01,Harrison,1
2014-12-01,Hawker,1
2014-12-01,Isaacs,2
2014-12-01,Lyneham,1
2014-12-01,Lyons,1
2014-12-01,Nicholls,1
2014-12-01,O'Connor,2
2014-12-01,O'Malley,3
2014-12-01,Pearce,1
2014-12-01,Red Hill,2
2014-12-01,Yarralumla,2
2015-01-01,Bruce,1
2015-01-01,Chapman,1
2015-01-01,Deakin,1
2015-01-01,Franklin,1
2015-01-01,Garran,2
2015-01-01,Hawker,1
2015-01-01,O'Connor,2
2015-01-01,Red Hill,1
2015-01-01,Watson,1
2015-01-01,Wright,1
2015-01-01,Yarralumla,1
2015-02-01,Ainslie,1
2015-02-01,Bruce,2
2015-02-01,Campbell,1
2015-02-01,Chapman,1
2015-02-01,Curtin,2
2015-02-01,Deakin,1
2015-02-01,Forrest,1
2015-02-01,Garran,1
2015-02-01,Griffith,1
2015-02-01,Isaacs,1
2015-02-01,Mawson,1
2015-02-01,O'Malley,1
2015-02-01,Red Hill,3
2015-02-01,Yarralumla,2
2015-03-01,Ainslie,1
2015-03-01,Campbell,3
2015-03-01,Crace,1
2015-03-01,Deakin,1
2015-03-01,Griffith,1
2015-03-01,Hughes,1
2015-03-01,Isaacs,1
2015-03-01,Narrabundah,1
2015-03-01,O'Connor,2
2015-03-01,O'Malley,1
2015-03-01,Red Hill,6
2015-03-01,Reid,1
2015-03-01,Symonston,1
2015-03-01,Torrens,1
2015-03-01,Turner,2
2015-03-01,Yarralumla,2
2015-04-01,Aranda,2
2015-04-01,Bruce,1
2015-04-01,Campbell,1
2015-04-01,Crace,1
2015-04-01,Forrest,2
2015-04-01,Garran,1
2015-04-01,Griffith,4
2015-04-01,Hawker,1
2015-04-01,Hughes,1
2015-04-01,Kambah,1
2015-04-01,Mawson,1
2015-04-01,Narrabundah,1
2015-04-01,O'Connor,1
2015-04-01,O'Malley,1
2015-04-01,Red Hill,2
2015-04-01,Yarralumla,2
2015-05-01,Ainslie,3
2015-05-01,Aranda,2
2015-05-01,Bruce,1
2015-05-01,Curtin,2
2015-05-01,Deakin,3
2015-05-01,Dickson,1
2015-05-01,Forde,1
2015-05-01,Forrest,4
2015-05-01,Griffith,3
2015-05-01,Hughes,1
2015-05-01,Isaacs,1
2015-05-01,Lyneham,1
2015-05-01,Narrabundah,1
2015-05-01,O'Connor,2
2015-05-01,Pearce,1
2015-05-01,Red Hill,3
2015-05-01,Reid,1
2015-05-01,Turner,2
2015-05-01,Weetangera,1
2015-06-01,Campbell,4
2015-06-01,Chifley,1
2015-06-01,Crace,1
2015-06-01,Deakin,3
2015-06-01,Farrer,1
2015-06-01,Forrest,1
2015-06-01,Garran,1
2015-06-01,Griffith,2
2015-06-01,Hughes,2
2015-06-01,Nicholls,1
2015-06-01,O'Malley,1
2015-06-01,Red Hill,1
2015-06-01,Reid,1
2015-06-01,Weetangera,1
2015-06-01,Yarralumla,2
2015-07-01,Ainslie,1
2015-07-01,Barton,2
2015-07-01,Campbell,2
2015-07-01,Chapman,1
2015-07-01,Coombs,2
2015-07-01,Deakin,3
2015-07-01,Farrer,1
2015-07-01,Forde,1
2015-07-01,Garran,1
2015-07-01,Griffith,1
2015-07-01,Isaacs,1
2015-07-01,Nicholls,2
2015-07-01,Red Hill,1
2015-07-01,Reid,1
2015-07-01,Turner,1
2015-08-01,Ainslie,3
2015-08-01,Aranda,1
2015-08-01,Braddon,1
2015-08-01,Casey,1
2015-08-01,Chapman,1
2015-08-01,Deakin,2
2015-08-01,Duffy,1
2015-08-01,Forrest,2
2015-08-01,Garran,2
2015-08-01,Griffith,3
2015-08-01,Harrison,1
2015-08-01,O'Connor,4
2015-08-01,Red Hill,1
2015-08-01,Reid,1
2015-08-01,Turner,1
2015-08-01,Yarralumla,2
2015-09-01,Ainslie,1
2015-09-01,Banks,1
2015-09-01,Bruce,1
2015-09-01,Campbell,2
2015-09-01,Casey,1
2015-09-01,Curtin,1
2015-09-01,Deakin,2
2015-09-01,Farrer,1
2015-09-01,Forrest,1
2015-09-01,Garran,3
2015-09-01,Griffith,3
2015-09-01,Hawker,1
2015-09-01,Hughes,2
2015-09-01,Narrabundah,1
2015-09-01,O'Malley,2
2015-09-01,Pearce,2
2015-09-01,Red Hill,3
2015-09-01,Reid,1
2015-09-01,Yarralumla,2
2015-10-01,Ainslie,3
2015-10-01,Bruce,1
2015-10-01,Campbell,1
2015-10-01,Chapman,1
2015-10-01,Crace,1
2015-10-01,Curtin,1
2015-10-01,Deakin,3
2015-10-01,Forde,1
2015-10-01,Garran,3
2015-10-01,Griffith,3
2015-10-01,Hawker,1
2015-10-01,McKellar,1
2015-10-01,Ngunnawal,1
2015-10-01,Nicholls,1
2015-10-01,O'Connor,3
2015-10-01,O'Malley,3
2015-10-01,Red Hill,2
2015-10-01,Reid,1
2015-10-01,Turner,1
2015-10-01,Yarralumla,4
2015-11-01,Ainslie,1
2015-11-01,Barton,1
2015-11-01,Campbell,3
2015-11-01,Chapman,1
2015-11-01,Curtin,2
2015-11-01,Deakin,6
2015-11-01,Farrer,2
2015-11-01,Forrest,2
2015-11-01,Gordon,1
2015-11-01,Griffith,5
2015-11-01,Harrison,1
2015-11-01,Hawker,1
2015-11-01,Isaacs,1
2015-11-01,Lyneham,1
2015-11-01,Lyons,1
2015-11-01,Narrabundah,2
2015-11-01,Nicholls,3
2015-11-01,O'Connor,3
2015-11-01,O'Malley,1
2015-11-01,Red Hill,5
2015-11-01,Reid,1
2015-11-01,Turner,2
2015-11-01,Weetangera,2
2015-11-01,Yarralumla,1
2015-12-01,Ainslie,1
2015-12-01,Braddon,2
2015-12-01,Campbell,5
2015-12-01,Chapman,1
2015-12-01,Chifley,1
2015-12-01,Crace,1
2015-12-01,Deakin,2
2015-12-01,Forrest,1
2015-12-01,Garran,1
2015-12-01,Griffith,1
2015-12-01,Holder,1
2015-12-01,Kingston,1
2015-12-01,Narrabundah,2
2015-12-01,Nicholls,1
2015-12-01,O'Connor,2
2015-12-01,O'Malley,1
2015-12-01,Red Hill,3
2015-12-01,Turner,2
2015-12-01,Yarralumla,4
2016-01-01,Ainslie,1
2016-01-01,Bruce,1
2016-01-01,Campbell,1
2016-01-01,Deakin,1
2016-01-01,Forde,1
2016-01-01,Garran,1
2016-01-01,Griffith,1
2016-01-01,Hawker,1
2016-01-01,Red Hill,1
2016-02-01,Barton,1
2016-02-01,Bruce,1
2016-02-01,Campbell,1
2016-02-01,Crace,1
2016-02-01,Deakin,4
2016-02-01,Farrer,1
2016-02-01,Forrest,1
2016-02-01,Franklin,1
2016-02-01,Garran,1
2016-02-01,Griffith,3
2016-02-01,Hughes,1
2016-02-01,Narrabundah,1
2016-02-01,Ngunnawal,1
2016-02-01,O'Connor,1
2016-02-01,Red Hill,1
2016-02-01,Reid,2
2016-02-01,Turner,3
2016-02-01,Weetangera,1
2016-02-01,Wright,1
2016-02-01,Yarralumla,5
2016-03-01,Ainslie,2
2016-03-01,Braddon,1
2016-03-01,Campbell,1
2016-03-01,Coombs,1
2016-03-01,Curtin,1
2016-03-01,Deakin,2
2016-03-01,Farrer,1
2016-03-01,Forde,2
2016-03-01,Forrest,1
2016-03-01,Gordon,1
2016-03-01,Griffith,2
2016-03-01,Hawker,1
2016-03-01,Hughes,1
2016-03-01,Ngunnawal,1
2016-03-01,Nicholls,1
2016-03-01,O'Connor,1
2016-03-01,Red Hill,2
2016-03-01,Reid,3
2016-03-01,Turner,2
2016-03-01,Weetangera,1
2016-03-01,Yarralumla,3
2016-04-01,Ainslie,1
2016-04-01,Campbell,2
2016-04-01,Chapman,1
2016-04-01,Conder,1
2016-04-01,Crace,1
2016-04-01,Curtin,1
2016-04-01,Deakin,2
2016-04-01,Dickson,1
2016-04-01,Duffy,1
2016-04-01,Forde,1
2016-04-01,Forrest,2
2016-04-01,Griffith,3
2016-04-01,Hackett,1
2016-04-01,Kingston,2
2016-04-01,Lyneham,1
2016-04-01,Nicholls,1
2016-04-01,O'Connor,5
2016-04-01,O'Malley,1
2016-04-01,Red Hill,3
2016-04-01,Weetangera,1
2016-04-01,Wright,1
2016-04-01,Yarralumla,5
2016-05-01,Ainslie,2
2016-05-01,Amaroo,1
2016-05-01,Barton,1
2016-05-01,Campbell,1
2016-05-01,Casey,1
2016-05-01,Chapman,2
2016-05-01,Curtin,1
2016-05-01,Deakin,5
2016-05-01,Forrest,1
2016-05-01,Franklin,1
2016-05-01,Griffith,2
2016-05-01,Isaacs,1
2016-05-01,Nicholls,4
2016-05-01,O'Connor,2
2016-05-01,O'Malley,1
2016-05-01,Pearce,1
2016-05-01,Red Hill,3
2016-05-01,Reid,3
2016-05-01,Wright,1
2016-05-01,Yarralumla,2
2016-06-01,Braddon,1
2016-06-01,Bruce,1
2016-06-01,Campbell,1
2016-06-01,Coombs,1
2016-06-01,Curtin,1
2016-06-01,Deakin,2
2016-06-01,Garran,3
2016-06-01,Griffith,2
2016-06-01,Lyneham,1
2016-06-01,O'Malley,1
2016-06-01,Pearce,1
2016-06-01,Red Hill,3
2016-06-01,Turner,2
2016-06-01,Watson,1
2016-06-01,Yarralumla,3
2016-07-01,Ainslie,1
2016-07-01,Bruce,2
2016-07-01,Campbell,1
2016-07-01,Chapman,2
2016-07-01,Coombs,1
2016-07-01,Deakin,1
2016-07-01,Forrest,1
2016-07-01,Griffith,1
2016-07-01,Hall,1
2016-07-01,Ngunnawal,1
2016-07-01,Nicholls,1
2016-07-01,Red Hill,2
2016-07-01,Reid,1
2016-07-01,Turner,1
2016-07-01,Yarralumla,1
2016-08-01,Ainslie,4
2016-08-01,Aranda,1
2016-08-01,Bruce,1
2016-08-01,Calwell,1
2016-08-01,Campbell,1
2016-08-01,Curtin,2
2016-08-01,Deakin,3
2016-08-01,Dickson,3
2016-08-01,Farrer,1
2016-08-01,Forde,1
2016-08-01,Forrest,2
2016-08-01,Griffith,2
2016-08-01,Hall,1
2016-08-01,Kambah,2
2016-08-01,Lyons,1
2016-08-01,Narrabundah,2
2016-08-01,Nicholls,2
2016-08-01,O'Malley,1
2016-08-01,Red Hill,1
2016-08-01,Yarralumla,2
2016-09-01,Braddon,1
2016-09-01,Campbell,2
2016-09-01,Casey,1
2016-09-01,Chapman,2
2016-09-01,Coombs,2
2016-09-01,Deakin,2
2016-09-01,Farrer,1
2016-09-01,Forde,1
2016-09-01,Forrest,4
2016-09-01,Griffith,3
2016-09-01,Hackett,1
2016-09-01,Harrison,1
2016-09-01,Hawker,1
2016-09-01,Hughes,3
2016-09-01,Lyneham,1
2016-09-01,Melba,1
2016-09-01,Narrabundah,2
2016-09-01,Nicholls,1
2016-09-01,O'Connor,2
2016-09-01,Pearce,1
2016-09-01,Red Hill,3
2016-09-01,Turner,2
2016-09-01,Wright,1
2016-09-01,Yarralumla,3
2016-10-01,Braddon,1
2016-10-01,Bruce,1
2016-10-01,Campbell,4
2016-10-01,Chifley,1
2016-10-01,Coombs,1
2016-10-01,Crace,2
2016-10-01,Deakin,4
2016-10-01,Forrest,1
2016-10-01,Griffith,6
2016-10-01,Hackett,1
2016-10-01,Hughes,1
2016-10-01,Kambah,1
2016-10-01,Lyneham,2
2016-10-01,Mawson,1
2016-10-01,Narrabundah,1
2016-10-01,Nicholls,1
2016-10-01,O'Connor,1
2016-10-01,O'Malley,2
2016-10-01,Red Hill,3
2016-10-01,Reid,1
2016-10-01,Torrens,2
2016-10-01,Wright,1
2016-10-01,Yarralumla,3
2016-11-01,Ainslie,4
2016-11-01,Aranda,2
2016-11-01,Bruce,1
2016-11-01,Campbell,6
2016-11-01,Casey,1
2016-11-01,Chapman,2
2016-11-01,Chifley,2
2016-11-01,Curtin,1
2016-11-01,Deakin,2
2016-11-01,Evatt,1
2016-11-01,Farrer,1
2016-11-01,Forrest,3
2016-11-01,Garran,1
2016-11-01,Griffith,5
2016-11-01,Gungahlin,1
2016-11-01,Hackett,1
2016-11-01,Hawker,1
2016-11-01,Hughes,1
2016-11-01,Isaacs,1
2016-11-01,Kaleen,1
2016-11-01,Lyons,1
2016-11-01,Narrabundah,3
2016-11-01,Nicholls,8
2016-11-01,Pearce,1
2016-11-01,Red Hill,4
2016-11-01,Turner,1
2016-11-01,Weetangera,2
2016-11-01,Yarralumla,5
2016-12-01,Ainslie,3
2016-12-01,Aranda,1
2016-12-01,Barton,1
2016-12-01,Braddon,4
2016-12-01,Bruce,1
2016-12-01,Campbell,2
2016-12-01,Chapman,3
2016-12-01,Cook,1
2016-12-01,Crace,1
2016-12-01,Curtin,1
2016-12-01,Deakin,2
2016-12-01,Farrer,3
2016-12-01,Forrest,2
2016-12-01,Franklin,1
2016-12-01,Griffith,4
2016-12-01,Hackett,2
2016-12-01,Hughes,3
2016-12-01,Isaacs,1
2016-12-01,Kambah,1
2016-12-01,Lawson,1
2016-12-01,Lyons,1
2016-12-01,Mawson,1
2016-12-01,Moncrieff,1
2016-12-01,Narrabundah,2
2016-12-01,Nicholls,2
2016-12-01,O'Connor,1
2016-12-01,O'Malley,1
2016-12-01,Pearce,1
2016-12-01,Red Hill,1
2016-12-01,Reid,1
2016-12-01,Turner,1
2016-12-01,Weetangera,3
2016-12-01,Yarralumla,7
2017-01-01,Aranda,1
2017-01-01,Campbell,1
2017-01-01,Crace,1
2017-01-01,Curtin,1
2017-01-01,Duffy,1
2017-01-01,Farrer,1
2017-01-01,Forrest,1
2017-01-01,McKellar,1
2017-01-01,Turner,2
2017-02-01,Ainslie,3
2017-02-01,Aranda,2
2017-02-01,Braddon,1
2017-02-01,Bruce,2
2017-02-01,Campbell,6
2017-02-01,Conder,1
2017-02-01,Coombs,2
2017-02-01,Crace,1
2017-02-01,Curtin,3
2017-02-01,Deakin,4
2017-02-01,Farrer,1
2017-02-01,Forde,1
2017-02-01,Forrest,1
2017-02-01,Garran,1
2017-02-01,Griffith,6
2017-02-01,Gungahlin,1
2017-02-01,Hackett,2
2017-02-01,Harrison,1
2017-02-01,Lawson,1
2017-02-01,Mawson,1
2017-02-01,Narrabundah,3
2017-02-01,O'Connor,3
