month,suburb,count
2011-01-01,Deakin,1
2011-01-01,Forrest,1
2011-01-01,Griffith,2
2011-02-01,Ainslie,1
2011-02-01,Aranda,1
2011-02-01,Braddon,1
2011-02-01,Campbell,2
2011-02-01,Griffith,6
2011-02-01,Narrabundah,1
2011-02-01,Red Hill,2
2011-02-01,Yarralumla,1
2011-03-01,Braddon,1
2011-03-01,Chapman,2
2011-03-01,Curtin,1
2011-03-01,Deakin,4
2011-03-01,Duffy,1
2011-03-01,Forrest,2
2011-03-01,Griffith,2
2011-03-01,Isaacs,1
2011-03-01,Ngunnawal,2
2011-03-01,Nicholls,2
2011-03-01,O'Connor,1
2011-03-01,O'Malley,1
2011-03-01,Turner,1
2011-03-01,Yarralumla,1
2011-04-01,Barton,1
2011-04-01,Forrest,2
2011-04-01,Garran,3
2011-04-01,Griffith,3
2011-04-01,Hackett,1
2011-04-01,Red Hill,1
2011-04-01,Reid,2
2011-04-01,Yarralumla,5
2011-05-01,Bruce,2
2011-05-01,Campbell,1
2011-05-01,Curtin,1
2011-05-01,Deakin,3
2011-05-01,Forrest,1
2011-05-01,Griffith,1
2011-05-01,Hughes,1
2011-05-01,Nicholls,1
2011-05-01,O'Connor,2
2011-05-01,O'Malley,1
2011-05-01,Red Hill,2
2011-05-01,Turner,1
2011-06-01,Braddon,1
2011-06-01,Campbell,1
2011-06-01,Deakin,1
2011-06-01,Forrest,1
2011-06-01,Griffith,1
2011-06-01,Isaacs,1
2011-06-01,Lyons,1
2011-06-01,Nicholls,2
2011-06-01,Red Hill,1
2011-06-01,Turner,1
2011-06-01,Yarralumla,2
2011-07-01,Barton,1
2011-07-01,Campbell,1
2011-07-01,Forrest,2
2011-07-01,Griffith,1
2011-07-01,Lyneham,1
2011-07-01,O'Connor,1
2011-07-01,O'Malley,1
2011-07-01,Red Hill,1
2011-07-01,Reid,1
2011-07-01,Turner,1
2011-08-01,Braddon,2
2011-08-01,Campbell,1
2011-08-01,Dickson,1
2011-08-01,Griffith,1
2011-08-01,O'Malley,1
2011-08-01,Red Hill,1
2011-09-01,Barton,1
2011-09-01,Deakin,1
2011-09-01,Forrest,1
2011-09-01,Griffith,1
2011-09-01,Melba,1
2011-09-01,O'Connor,1
2011-09-01,O'Malley,1
2011-09-01,Page,1
2011-09-01,Pialligo,1
2011-09-01,Red Hill,3
2011-10-01,Campbell,1
2011-10-01,Conder,1
2011-10-01,Deakin,2
2011-10-01,Farrer,1
2011-10-01,Forrest,1
2011-10-01,Garran,1
2011-10-01,Griffith,1
2011-10-01,Narrabundah,1
2011-10-01,Nicholls,2
2011-10-01,O'Connor,1
2011-10-01,O'Malley,1
2011-10-01,Red Hill,1
2011-10-01,Yarralumla,2
2011-11-01,Ainslie,1
2011-11-01,Bruce,1
2011-11-01,Campbell,1
2011-11-01,Curtin,1
2011-11-01,Deakin,3
2011-11-01,Dickson,1
2011-11-01,Forrest,1
2011-11-01,Griffith,3
2011-11-01,Narrabundah,1
2011-11-01,O'Connor,1
2011-11-01,Pearce,1
2011-11-01,Red Hill,3
2011-11-01,Reid,1
2011-11-01,Yarralumla,1
2011-12-01,Campbell,2
2011-12-01,Deakin,1
2011-12-01,Forrest,3
2011-12-01,Hughes,1
2011-12-01,Nicholls,1
2011-12-01,O'Malley,1
2011-12-01,Red Hill,4
2011-12-01,Turner,1
2011-12-01,Yarralumla,4
2012-01-01,Campbell,1
2012-01-01,Deakin,1
2012-01-01,Dickson,1
2012-01-01,Griffith,1
2012-01-01,Kambah,1
2012-02-01,Ainslie,2
2012-02-01,Bruce,1
2012-02-01,Campbell,1
2012-02-01,Curtin,3
2012-02-01,Forrest,2
2012-02-01,Garran,1
2012-02-01,Hall,1
2012-02-01,Lyneham,1
2012-02-01,Mawson,1
2012-02-01,Nicholls,3
2012-02-01,O'Connor,2
2012-02-01,Pialligo,1
2012-02-01,Red Hill,3
2012-02-01,Yarralumla,1
2012-03-01,Ainslie,1
2012-03-01,Campbell,1
2012-03-01,Dickson,2
2012-03-01,Forrest,2
2012-03-01,Griffith,4
2012-03-01,Hackett,1
2012-03-01,Hughes,1
2012-03-01,Narrabundah,1
2012-03-01,Nicholls,1
2012-03-01,O'Connor,1
2012-03-01,Reid,1
2012-03-01,Turner,1
2012-03-01,Yarralumla,2
2012-04-01,Curtin,1
2012-04-01,Forrest,3
2012-04-01,Griffith,1
2012-04-01,O'Malley,1
2012-04-01,Red Hill,2
2012-05-01,Deakin,6
2012-05-01,Forrest,1
2012-05-01,Griffith,2
2012-05-01,O'Malley,1
2012-05-01,Red Hill,2
2012-05-01,Turner,1
2012-05-01,Weetangera,1
2012-05-01,Yarralumla,1
2012-06-01,Braddon,1
2012-06-01,Fyshwick,1
2012-06-01,Garran,1
2012-06-01,Narrabundah,1
2012-06-01,Red Hill,1
2012-07-01,Duffy,1
2012-07-01,Griffith,1
2012-07-01,O'Malley,1
2012-07-01,Turner,1
2012-07-01,Yarralumla,4
2012-08-01,Calwell,1
2012-08-01,Garran,1
2012-08-01,Isaacs,1
2012-08-01,Red Hill,3
2012-08-01,Turner,1
2012-08-01,Yarralumla,1
2012-09-01,Deakin,3
2012-09-01,Griffith,3
2012-09-01,Hall,1
2012-09-01,Kingston,1
2012-09-01,Mawson,1
2012-09-01,Red Hill,3
2012-09-01,Yarralumla,1
2012-10-01,Bruce,1
2012-10-01,Campbell,2
2012-10-01,Curtin,1
2012-10-01,Deakin,2
2012-10-01,Fadden,1
