suburb,date,price
Pearce,2011-01-28,567000
Spence,2011-01-30,360000
Banks,2011-01-31,410000
Dunlop,2011-01-31,535000
Page,2011-01-31,406500
Aranda,2011-01-31,265000
Bonner,2011-01-31,180800
Gowrie,2011-01-31,445000
Kaleen,2011-01-31,490000
Casey,2011-01-31,270000
Casey,2011-01-31,385000
Dickson,2011-01-31,574500
Franklin,2011-01-31,285000
Higgins,2011-01-31,427000
Casey,2011-01-31,255000
Bonner,2011-02-01,480000
Scullin,2011-02-01,120000
Casey,2011-02-01,156150
Dunlop,2011-02-01,575000
Farrer,2011-02-01,715000
Calwell,2011-02-01,420000
Lyons,2011-02-01,510000
Gungahlin,2011-02-01,601000
Gowrie,2011-02-01,525000
Griffith,2011-02-01,1050000
Forde,2011-02-01,820000
Giralang,2011-02-01,160000
Casey,2011-02-02,320000
Harrison,2011-02-02,586000
Calwell,2011-02-02,215000
Casey,2011-02-02,295000
Casey,2011-02-02,315000
Casey,2011-02-02,295000
Hughes,2011-02-02,970000
Casey,2011-02-02,255000
Melba,2011-02-02,510012
Palmerston,2011-02-02,575000
Chisholm,2011-02-02,414000
Wanniassa,2011-02-02,480500
Rivett,2011-02-02,588500
Amaroo,2011-02-02,525000
Casey,2011-02-02,260000
Torrens,2011-02-02,561000
Curtin,2011-02-02,950000
Casey,2011-02-02,260000
Casey,2011-02-02,265000
Casey,2011-02-02,270000
Holt,2011-02-02,415000
Casey,2011-02-02,267000
Casey,2011-02-03,240000
Theodore,2011-02-03,465000
Gungahlin,2011-02-03,715000
Conder,2011-02-03,335000
Dunlop,2011-02-03,470000
Conder,2011-02-03,587500
Torrens,2011-02-03,760000
Ngunnawal,2011-02-03,430000
Evatt,2011-02-03,570000
Casey,2011-02-03,269000
Charnwood,2011-02-03,389000
Dickson,2011-02-03,625000
Casey,2011-02-03,250000
Dunlop,2011-02-03,441000
Casey,2011-02-03,24000
Waramanga,2011-02-04,350000
Scullin,2011-02-04,405000
Richardson,2011-02-04,460000
Bonner,2011-02-04,460000
Forde,2011-02-04,230000
Ainslie,2011-02-04,535000
Kaleen,2011-02-04,545000
Theodore,2011-02-04,550000
Forde,2011-02-04,250000
Rivett,2011-02-04,510000
Forde,2011-02-04,610000
Fisher,2011-02-04,550000
Chifley,2011-02-04,550000
Dickson,2011-02-04,770000
Macquarie,2011-02-04,660000
Farrer,2011-02-04,720000
Palmerston,2011-02-05,580000
Yarralumla,2011-02-05,1250000
Bonner,2011-02-05,212780
Griffith,2011-02-05,1035000
Downer,2011-02-05,670000
Monash,2011-02-05,482000
Waramanga,2011-02-05,590000
Torrens,2011-02-05,400000
Melba,2011-02-05,607000
Casey,2011-02-05,241000
Hughes,2011-02-05,620000
Casey,2011-02-05,230000
Wanniassa,2011-02-05,450000
Aranda,2011-02-05,1020000
Hughes,2011-02-05,888000
Holder,2011-02-05,541000
Forde,2011-02-06,572150
Casey,2011-02-07,290000
Amaroo,2011-02-07,499000
Evatt,2011-02-07,478000
Casey,2011-02-07,240000
Kambah,2011-02-07,505000
Gordon,2011-02-07,391000
Oxley,2011-02-07,630000
Evatt,2011-02-07,435000
Gungahlin,2011-02-07,485000
Monash,2011-02-07,605000
Chisholm,2011-02-08,540000
Richardson,2011-02-08,565000
Chifley,2011-02-08,480000
Casey,2011-02-08,154150
